parent_level,cell_group,cell_annotation,markers
Lineage_markers,Major_cells,T-Cells,CD3D
Lineage_markers,Major_cells,T-Cells,CD3E
Lineage_markers,Major_cells,T-Cells,CD4
Lineage_markers,Major_cells,T-Cells,CD8A
Lineage_markers,Major_cells,T-Cells,CD8B
Lineage_markers,Major_cells,NK_Cells,NCAM1
Lineage_markers,Major_cells,NK_Cells,KLRG1
Lineage_markers,Major_cells,NK_Cells,FCGR3A
Lineage_markers,Major_cells,NK_Cells,NKG7
Lineage_markers,Major_cells,NK_Cells,GNLY
Lineage_markers,Major_cells,NK_Cells,CD160
Lineage_markers,Major_cells,B-Plasma_Cells,CD19
Lineage_markers,Major_cells,B-Plasma_Cells,MS4A1
Lineage_markers,Major_cells,B-Plasma_Cells,CD79A
Lineage_markers,Major_cells,B-Plasma_Cells,CD79B
Lineage_markers,Major_cells,B-Plasma_Cells,SDC1
Lineage_markers,Major_cells,B-Plasma_Cells,MZB1
Lineage_markers,Major_cells,B-Plasma_Cells,XBP1
Lineage_markers,Major_cells,B-Plasma_Cells,JCHAIN
Lineage_markers,Major_cells,Myeloid,LYZ
Lineage_markers,Major_cells,Myeloid,S100A8
Lineage_markers,Major_cells,Myeloid,S100A9
Lineage_markers,Major_cells,Myeloid,CD68
Lineage_markers,Major_cells,Myeloid,CD14
Lineage_markers,Major_cells,Myeloid,C1QB
Lineage_markers,Major_cells,Myeloid,C1QC
Lineage_markers,Major_cells,Endothelial_Cells,PECAM1
Lineage_markers,Major_cells,Endothelial_Cells,VWF
Lineage_markers,Major_cells,Endothelial_Cells,ENG
Lineage_markers,Major_cells,Endothelial_Cells,MCAM
Lineage_markers,Major_cells,Fibroblast,FAP
Lineage_markers,Major_cells,Fibroblast,PDPN
Lineage_markers,Major_cells,Fibroblast,COL1A2
Lineage_markers,Major_cells,Fibroblast,DCN
Lineage_markers,Major_cells,Fibroblast,COL3A1
Lineage_markers,Major_cells,Fibroblast,COL6A1
Lineage_markers,Major_cells,Epithelial,EPCAM
Lineage_markers,Major_cells,Epithelial,MUC1
Lineage_markers,Major_cells,Epithelial,ERBB2
Lineage_markers,Major_cells,Epithelial,KRT8
Lineage_markers,Major_cells,Epithelial,PGC
Lineage_markers,Major_cells,Epithelial,GKN2
Lineage_markers,Major_cells,Epithelial,SLC5A5
Lineage_markers,Major_cells,Epithelial,FABP1
Lineage_markers,Major_cells,Epithelial,KRT20
T-Cells,CD4_&_CD8_T_cells,Naive,CCR7
